"Protein names","unique_genes","unique_organisms","Measure","Value"
"Probable inactive leucine-rich repeat receptor-like protein kinase At3g03770","At3g03770 F20H23.20","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",88187
"Probable inactive poly [ADP-ribose] polymerase SRO5 (Protein SIMILAR TO RCD ONE 5)","SRO5 At5g62520 K19B1.13","Arabidopsis thaliana (Mouse-ear cress)","mean_length",309
"Probable inactive poly [ADP-ribose] polymerase SRO5 (Protein SIMILAR TO RCD ONE 5)","SRO5 At5g62520 K19B1.13","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",34623
"Probable inactive receptor kinase At1g27190","At1g27190 T7N9.25","Arabidopsis thaliana (Mouse-ear cress)","mean_length",601
"Probable inactive receptor kinase At1g27190","At1g27190 T7N9.25","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",65424
"Probable inactive receptor kinase At1g48480","RKL1 At1g48480 T1N15.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",655
"Probable inactive receptor kinase At1g48480","RKL1 At1g48480 T1N15.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",71131
"Probable inactive receptor kinase At2g26730","At2g26730 F18A8.10","Arabidopsis thaliana (Mouse-ear cress)","mean_length",658
"Probable inactive receptor kinase At2g26730","At2g26730 F18A8.10","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",71752
"Probable inactive receptor kinase At3g02880","At3g02880 F13E7.17","Arabidopsis thaliana (Mouse-ear cress)","mean_length",627
"Probable inactive receptor kinase At3g02880","At3g02880 F13E7.17","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",67752
"Probable inactive receptor kinase At3g08680","At3g08680 F17O14.15","Arabidopsis thaliana (Mouse-ear cress)","mean_length",640
"Probable inactive receptor kinase At3g08680","At3g08680 F17O14.15","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",69406
"Probable inactive receptor kinase At4g23740","At4g23740 F9D16.210","Arabidopsis thaliana (Mouse-ear cress)","mean_length",638
"Probable inactive receptor kinase At4g23740","At4g23740 F9D16.210","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",70798
"Probable inactive receptor kinase At5g10020","At5g10020 T31P16.10 T31P16_9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1048
"Probable inactive receptor kinase At5g10020","At5g10020 T31P16.10 T31P16_9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",114714
"Probable inactive receptor kinase At5g16590","At5g16590 MTG13.3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",625
"Probable inactive receptor kinase At5g16590","At5g16590 MTG13.3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",67463
"Probable inactive receptor kinase At5g53320","At5g53320 K19E1.12","Arabidopsis thaliana (Mouse-ear cress)","mean_length",601
"Probable inactive receptor kinase At5g53320","At5g53320 K19E1.12","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",66863
"Probable inactive receptor kinase At5g58300","At5g58300 MCK7.17","Arabidopsis thaliana (Mouse-ear cress)","mean_length",654
"Probable inactive receptor kinase At5g58300","At5g58300 MCK7.17","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",71899
"Probable inactive receptor kinase RLK902 (Receptor-like kinase 902)","RLK902 At3g17840 MEB5.6","Arabidopsis thaliana (Mouse-ear cress)","mean_length",647
"Probable inactive receptor kinase RLK902 (Receptor-like kinase 902)","RLK902 At3g17840 MEB5.6","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",70406
"Probable leucine-rich repeat receptor-like protein kinase At1g35710 (EC 2.7.11.1)","At1g35710 F14D7.1","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1120
"Probable leucine-rich repeat receptor-like protein kinase At1g35710 (EC 2.7.11.1)","At1g35710 F14D7.1","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",124104
"Probable leucine-rich repeat receptor-like protein kinase At1g68400 (EC 2.7.11.1)","At1g68400 T2E12.5","Arabidopsis thaliana (Mouse-ear cress)","mean_length",670
"Probable leucine-rich repeat receptor-like protein kinase At1g68400 (EC 2.7.11.1)","At1g68400 T2E12.5","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",73521
"Probable leucine-rich repeat receptor-like protein kinase At2g28990 (EC 2.7.11.1)","At2g28990 T9I4.7","Arabidopsis thaliana (Mouse-ear cress)","mean_length",884
"Probable leucine-rich repeat receptor-like protein kinase At2g28990 (EC 2.7.11.1)","At2g28990 T9I4.7","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",98756
"Probable leucine-rich repeat receptor-like protein kinase At5g49770 (EC 2.7.11.1)","At5g49770 K2I5.14","Arabidopsis thaliana (Mouse-ear cress)","mean_length",946
"Probable leucine-rich repeat receptor-like protein kinase At5g49770 (EC 2.7.11.1)","At5g49770 K2I5.14","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",104523
"Probable leucine-rich repeat receptor-like protein kinase At5g63930 (EC 2.7.11.1)","At5g63930 MBM17.3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1102
"Probable leucine-rich repeat receptor-like protein kinase At5g63930 (EC 2.7.11.1)","At5g63930 MBM17.3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",120477
"Probable leucine-rich repeat receptor-like protein kinase IMK3 (EC 2.7.11.1) (Protein INFLORESCENCE MERISTEM RECEPTOR-LIKE KINASE 3) (Protein MERISTEMATIC RECEPTOR-LIKE KINASE)","IMK3 MRLK At3g56100 F18O21.60","Arabidopsis thaliana (Mouse-ear cress)","mean_length",784
"Probable leucine-rich repeat receptor-like protein kinase IMK3 (EC 2.7.11.1) (Protein INFLORESCENCE MERISTEM RECEPTOR-LIKE KINASE 3) (Protein MERISTEMATIC RECEPTOR-LIKE KINASE)","IMK3 MRLK At3g56100 F18O21.60","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",84687
"Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 (EC 2.7.11.1)","LRR-RLK At3g14840 T21E2.2","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1020
"Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 (EC 2.7.11.1)","LRR-RLK At3g14840 T21E2.2","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",112277
"Probable microtubule-binding protein TANGLED (AtTAN)","TAN ATN At3g05330 T12H1.30","Arabidopsis thaliana (Mouse-ear cress)","mean_length",444
"Probable microtubule-binding protein TANGLED (AtTAN)","TAN ATN At3g05330 T12H1.30","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",49524
"Probable mitochondrial-processing peptidase subunit beta, mitochondrial (EC 3.4.24.64) (Beta-MPP) (Complex III subunit I) (Core protein I) (Cytochrome b-c1 complex subunit 1, mitochondrial) (Ubiquinol-cytochrome c oxidoreductase core protein 1)","MPPbeta At3g02090 F1C9.12","Arabidopsis thaliana (Mouse-ear cress)","mean_length",531
"Probable mitochondrial-processing peptidase subunit beta, mitochondrial (EC 3.4.24.64) (Beta-MPP) (Complex III subunit I) (Core protein I) (Cytochrome b-c1 complex subunit 1, mitochondrial) (Ubiquinol-cytochrome c oxidoreductase core protein 1)","MPPbeta At3g02090 F1C9.12","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",59160
"Probable plastid-lipid-associated protein 1, chloroplastic (AtPap1) (Fibrillin-1a) (Plastoglobulin 35) (AtPGL35)","PAP1 FBN1a FIB1a PGL35 At4g04020 T24H24.16","Arabidopsis thaliana (Mouse-ear cress)","mean_length",318
"Probable plastid-lipid-associated protein 1, chloroplastic (AtPap1) (Fibrillin-1a) (Plastoglobulin 35) (AtPGL35)","PAP1 FBN1a FIB1a PGL35 At4g04020 T24H24.16","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",34948
"Probable polygalacturonase At1g80170 (PG) (EC 3.2.1.15) (Pectinase At1g80170)","At1g80170 F18B13.25","Arabidopsis thaliana (Mouse-ear cress)","mean_length",444
"Probable polygalacturonase At1g80170 (PG) (EC 3.2.1.15) (Pectinase At1g80170)","At1g80170 F18B13.25","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",48172
"Probable protein phosphatase 2C 22 (AtPP2C22) (EC 3.1.3.16)","At2g25620 F3N11.7","Arabidopsis thaliana (Mouse-ear cress)","mean_length",392
"Probable protein phosphatase 2C 22 (AtPP2C22) (EC 3.1.3.16)","At2g25620 F3N11.7","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",42674
"Probable protein phosphatase 2C 24 (AtPP2C24) (EC 3.1.3.16)","At2g29380 F16P2.24","Arabidopsis thaliana (Mouse-ear cress)","mean_length",362
"Probable protein phosphatase 2C 24 (AtPP2C24) (EC 3.1.3.16)","At2g29380 F16P2.24","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",40297
"Probable protein phosphatase 2C 25 (AtPP2C25) (EC 3.1.3.16) (Protein phosphatase AP2C1)","At2g30020 F23F1.6","Arabidopsis thaliana (Mouse-ear cress)","mean_length",396
"Probable protein phosphatase 2C 25 (AtPP2C25) (EC 3.1.3.16) (Protein phosphatase AP2C1)","At2g30020 F23F1.6","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",42420
"Probable protein phosphatase 2C 34 (AtPP2C34) (EC 3.1.3.16)","At3g05640 F18C1.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",358
"Probable protein phosphatase 2C 34 (AtPP2C34) (EC 3.1.3.16)","At3g05640 F18C1.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",39780
"Probable protein phosphatase 2C 40 (AtPP2C40) (EC 3.1.3.16) (Protein phosphatase 2C homolog 1)","At3g16560 MDC8.3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",493
"Probable protein phosphatase 2C 40 (AtPP2C40) (EC 3.1.3.16) (Protein phosphatase 2C homolog 1)","At3g16560 MDC8.3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",53614
"Probable protein phosphatase 2C 42 (AtPP2C42) (EC 3.1.3.16)","PP2C42 PP2C-D2 At3g17090 K14A17.16 K14A17.4","Arabidopsis thaliana (Mouse-ear cress)","mean_length",384
"Probable protein phosphatase 2C 42 (AtPP2C42) (EC 3.1.3.16)","PP2C42 PP2C-D2 At3g17090 K14A17.16 K14A17.4","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",42489
"Probable protein phosphatase 2C 52 (AtPP2C52) (EC 3.1.3.16)","At4g03415 F9H3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",468
"Probable protein phosphatase 2C 52 (AtPP2C52) (EC 3.1.3.16)","At4g03415 F9H3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",51851
"Probable protein phosphatase 2C 67 (AtPP2C67) (EC 3.1.3.16)","PP2C67 PP2C-D1 At5g02760 F9G14.70","Arabidopsis thaliana (Mouse-ear cress)","mean_length",370
"Probable protein phosphatase 2C 67 (AtPP2C67) (EC 3.1.3.16)","PP2C67 PP2C-D1 At5g02760 F9G14.70","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",41334
"Probable protein phosphatase 2C 74 (AtPP2C74) (EC 3.1.3.16)","At5g36250 T30G6.11","Arabidopsis thaliana (Mouse-ear cress)","mean_length",448
"Probable protein phosphatase 2C 74 (AtPP2C74) (EC 3.1.3.16)","At5g36250 T30G6.11","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",49314
"Probable protein phosphatase 2C 75 (AtPP2C75) (EC 3.1.3.16) (Protein ABA-HYPERSENSITIVE GERMINATION 1) (Protein phosphatase 2C AHG1) (PP2C AHG1)","AHG1 At5g51760 MIO24.11","Arabidopsis thaliana (Mouse-ear cress)","mean_length",416
"Probable protein phosphatase 2C 75 (AtPP2C75) (EC 3.1.3.16) (Protein ABA-HYPERSENSITIVE GERMINATION 1) (Protein phosphatase 2C AHG1) (PP2C AHG1)","AHG1 At5g51760 MIO24.11","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",46043
"Probable protein phosphatase 2C 78 (AtPP2C78) (EC 3.1.3.16) (Protein HIGHLY ABA-INDUCED 1) (Protein SENESCENCE-ASSOCIATED GENE 113)","SAG113 HAI1 At5g59220 MNC17.110","Arabidopsis thaliana (Mouse-ear cress)","mean_length",413
"Probable protein phosphatase 2C 78 (AtPP2C78) (EC 3.1.3.16) (Protein HIGHLY ABA-INDUCED 1) (Protein SENESCENCE-ASSOCIATED GENE 113)","SAG113 HAI1 At5g59220 MNC17.110","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",45538
"Probable rRNA-processing protein EBP2 homolog","EBP2 At3g22660 MWI23.3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",293
"Probable rRNA-processing protein EBP2 homolog","EBP2 At3g22660 MWI23.3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",33206
"Probable receptor-like protein kinase At2g47060 (EC 2.7.11.1)","At2g47060 F14M4.11","Arabidopsis thaliana (Mouse-ear cress)","mean_length",365
"Probable receptor-like protein kinase At2g47060 (EC 2.7.11.1)","At2g47060 F14M4.11","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",39931
"Probable receptor-like protein kinase At5g59700 (EC 2.7.11.-)","At5g59700 T5I8.2","Arabidopsis thaliana (Mouse-ear cress)","mean_length",829
"Probable receptor-like protein kinase At5g59700 (EC 2.7.11.-)","At5g59700 T5I8.2","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",91964
"Probable serine/threonine protein phosphatase 2A regulatory subunit B''gamma (AtB''gamma) (Serine/threonine protein phosphatase 2A regulatory subunit B''beta 2 isoform) (AtB''beta 2) (PP2A, B'' subunit, beta 2 isoform)","B''GAMMA At5g28900 F7P1.80","Arabidopsis thaliana (Mouse-ear cress)","mean_length",536
"Probable serine/threonine protein phosphatase 2A regulatory subunit B''gamma (AtB''gamma) (Serine/threonine protein phosphatase 2A regulatory subunit B''beta 2 isoform) (AtB''beta 2) (PP2A, B'' subunit, beta 2 isoform)","B''GAMMA At5g28900 F7P1.80","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",62019
"Probable serine/threonine-protein kinase At1g54610 (EC 2.7.11.1)","At1g54610 T22H22.5","Arabidopsis thaliana (Mouse-ear cress)","mean_length",572
"Probable serine/threonine-protein kinase At1g54610 (EC 2.7.11.1)","At1g54610 T22H22.5","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",63288
"Probable serine/threonine-protein kinase WNK5 (AtWNK5) (EC 2.7.11.1) (Protein kinase with no lysine 5)","WNK5 At3g51630 T18N14.10","Arabidopsis thaliana (Mouse-ear cress)","mean_length",549
"Probable serine/threonine-protein kinase WNK5 (AtWNK5) (EC 2.7.11.1) (Protein kinase with no lysine 5)","WNK5 At3g51630 T18N14.10","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",62658
"Probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2 (Protein EMBRYO DEFFECTIVE 40) (Protein GORDO) (Protein TONNEAU 2)","TON2 EMB40 FASS FASS1 FASS2 FS1 GDO At5g18580 T28N17","Arabidopsis thaliana (Mouse-ear cress)","mean_length",480
"Probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2 (Protein EMBRYO DEFFECTIVE 40) (Protein GORDO) (Protein TONNEAU 2)","TON2 EMB40 FASS FASS1 FASS2 FS1 GDO At5g18580 T28N17","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",55070
"Probable transcription factor At1g11510 (Storekeeper-like protein At1g11510)","At1g11510 T23J18.17","Arabidopsis thaliana (Mouse-ear cress)","mean_length",352
"Probable transcription factor At1g11510 (Storekeeper-like protein At1g11510)","At1g11510 T23J18.17","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",39231
"Probable transcription factor At1g44810 (Storekeeper-like protein At1g44810)","At1g44810 T12C22.8","Arabidopsis thaliana (Mouse-ear cress)","mean_length",296
"Probable transcription factor At1g44810 (Storekeeper-like protein At1g44810)","At1g44810 T12C22.8","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",32953
"Probable transcription factor At1g55950 (Storekeeper-like protein At1g55950)","At1g55950 F14J16.23","Arabidopsis thaliana (Mouse-ear cress)","mean_length",219
"Probable transcription factor At1g55950 (Storekeeper-like protein At1g55950)","At1g55950 F14J16.23","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",25222
"Probable transcription factor At1g66420 (Storekeeper-like protein At1g66420)","At1g66420 F28G11.12 T27F4.16","Arabidopsis thaliana (Mouse-ear cress)","mean_length",282
"Probable transcription factor At1g66420 (Storekeeper-like protein At1g66420)","At1g66420 F28G11.12 T27F4.16","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",32413
"Probable transcription factor At3g04930 (Storekeeper-like protein At3g04930)","At3g04930 T9J14.12","Arabidopsis thaliana (Mouse-ear cress)","mean_length",456
"Probable transcription factor At3g04930 (Storekeeper-like protein At3g04930)","At3g04930 T9J14.12","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",49707
"Probable transcription factor At4g00390 (Storekeeper-like protein At4g00390)","At4g00390 F5I10.6","Arabidopsis thaliana (Mouse-ear cress)","mean_length",364
"Probable transcription factor At4g00390 (Storekeeper-like protein At4g00390)","At4g00390 F5I10.6","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",39209
"Probable transcription factor At5g28040 (Storekeeper-like protein At5g28040)","At5g28040 F15F15.110","Arabidopsis thaliana (Mouse-ear cress)","mean_length",427
"Probable transcription factor At5g28040 (Storekeeper-like protein At5g28040)","At5g28040 F15F15.110","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",46906
"Probable zinc transporter 10 (ZRT/IRT-like protein 10)","ZIP10 At1g31260 T19E23.6","Arabidopsis thaliana (Mouse-ear cress)","mean_length",364
"Probable zinc transporter 10 (ZRT/IRT-like protein 10)","ZIP10 At1g31260 T19E23.6","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",39489
"Probably inactive leucine-rich repeat receptor-like protein kinase At3g28040","At3g28040 MMG15.21","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1016
"Probably inactive leucine-rich repeat receptor-like protein kinase At3g28040","At3g28040 MMG15.21","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",111932
"Probably inactive leucine-rich repeat receptor-like protein kinase At5g48380","At5g48380 K23F3.10 MJE7.1","Arabidopsis thaliana (Mouse-ear cress)","mean_length",620
"Probably inactive leucine-rich repeat receptor-like protein kinase At5g48380","At5g48380 K23F3.10 MJE7.1","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",69142
"Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)","PFN1","Homo sapiens (Human)","mean_length",140
"Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)","PFN1","Homo sapiens (Human)","mean_mass",15054
"Profilin-2 (Profilin II)","PFN2","Homo sapiens (Human)","mean_length",140
"Profilin-2 (Profilin II)","PFN2","Homo sapiens (Human)","mean_mass",15046
"Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)","PDCD6IP AIP1 ALIX KIAA1375","Homo sapiens (Human)","mean_length",868
"Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)","PDCD6IP AIP1 ALIX KIAA1375","Homo sapiens (Human)","mean_mass",96023
"Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)","PDCD5 TFAR19","Homo sapiens (Human)","mean_length",125
"Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)","PDCD5 TFAR19","Homo sapiens (Human)","mean_mass",14285
"Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)","PDCD6 ALG2","Homo sapiens (Human)","mean_length",191
"Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)","PDCD6 ALG2","Homo sapiens (Human)","mean_mass",21868
"Prohibitin-2, mitochondrial (Atphb2)","PHB2 At1g03860 F21M11.21","Arabidopsis thaliana (Mouse-ear cress)","mean_length",286
"Prohibitin-2, mitochondrial (Atphb2)","PHB2 At1g03860 F21M11.21","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",31811
"Proliferating cell nuclear antigen 2 (PCNA 2)","PCNA2 At2g29570 F16P2.5","Arabidopsis thaliana (Mouse-ear cress)","mean_length",264
"Proliferating cell nuclear antigen 2 (PCNA 2)","PCNA2 At2g29570 F16P2.5","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",29222
"Proliferating cellular nuclear antigen 1 (PCNA 1)","PCNA PCNA1 At1g07370 F22G5.29","Arabidopsis thaliana (Mouse-ear cress)","mean_length",263
"Proliferating cellular nuclear antigen 1 (PCNA 1)","PCNA PCNA1 At1g07370 F22G5.29","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",29122
"Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)","PA2G4 EBP1","Homo sapiens (Human)","mean_length",394
"Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)","PA2G4 EBP1","Homo sapiens (Human)","mean_mass",43787
"Proline-, glutamic acid- and leucine-rich protein 1 (Modulator of non-genomic activity of estrogen receptor) (Transcription factor HMX3)","PELP1 HMX3 MNAR","Homo sapiens (Human)","mean_length",1130
"Proline-, glutamic acid- and leucine-rich protein 1 (Modulator of non-genomic activity of estrogen receptor) (Transcription factor HMX3)","PELP1 HMX3 MNAR","Homo sapiens (Human)","mean_mass",119700
"Protease Do-like 1, chloroplastic (EC 3.4.21.-) (Protein DEGRADATION OF PERIPLASMIC PROTEINS 1) (DEGP PROTEASE 1)","DEGP1 DEG1 DEGP At3g27925 K16N12.18","Arabidopsis thaliana (Mouse-ear cress)","mean_length",439
"Protease Do-like 1, chloroplastic (EC 3.4.21.-) (Protein DEGRADATION OF PERIPLASMIC PROTEINS 1) (DEGP PROTEASE 1)","DEGP1 DEG1 DEGP At3g27925 K16N12.18","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",46674
"Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)","ADRM1 GP110","Homo sapiens (Human)","mean_length",407
"Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)","ADRM1 GP110","Homo sapiens (Human)","mean_mass",42153
"Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)","ECPAS ECM29 KIAA0368","Homo sapiens (Human)","mean_length",1845
"Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)","ECPAS ECM29 KIAA0368","Homo sapiens (Human)","mean_mass",204291
"Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)","PSMG1 C21LRP DSCR2 PAC1","Homo sapiens (Human)","mean_length",288
"Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)","PSMG1 C21LRP DSCR2 PAC1","Homo sapiens (Human)","mean_mass",32854
"Proteasome inhibitor PI31 subunit (hPI31)","PSMF1","Homo sapiens (Human)","mean_length",271
"Proteasome inhibitor PI31 subunit (hPI31)","PSMF1","Homo sapiens (Human)","mean_mass",29817
"Proteasome subunit alpha type-3 (20S proteasome alpha subunit G-1) (DiDi 17A-2a) (Proteasome component 8) (Proteasome subunit alpha type-7)","PAG1 PRC8 At2g27020 T20P8.7","Arabidopsis thaliana (Mouse-ear cress)","mean_length",249
"Proteasome subunit alpha type-3 (20S proteasome alpha subunit G-1) (DiDi 17A-2a) (Proteasome component 8) (Proteasome subunit alpha type-7)","PAG1 PRC8 At2g27020 T20P8.7","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",27377
"Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)","PSMA3 HC8 PSC8","Homo sapiens (Human)","mean_length",255
"Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)","PSMA3 HC8 PSC8","Homo sapiens (Human)","mean_mass",28433
"Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)","PSMB3","Homo sapiens (Human)","mean_length",205
"Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)","PSMB3","Homo sapiens (Human)","mean_mass",22949
"Proteasome subunit beta type-4 (20S proteasome beta subunit G-1) (Proteasome component H) (Proteasome subunit beta type-7)","PBG1 PRCH At1g56450 F13N6.3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",246
"Proteasome subunit beta type-4 (20S proteasome beta subunit G-1) (Proteasome component H) (Proteasome subunit beta type-7)","PBG1 PRCH At1g56450 F13N6.3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",27651
"Proteasome subunit beta type-4 (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)","PSMB4 PROS26","Homo sapiens (Human)","mean_length",264
"Proteasome subunit beta type-4 (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)","PSMB4 PROS26","Homo sapiens (Human)","mean_mass",29204
"Proteasome subunit beta type-6 (EC 3.4.25.1) (20S proteasome beta subunit A-1) (Proteasome component D) (Proteasome subunit beta type-1)","PBA1 PRCD At4g31300 F8F16.120","Arabidopsis thaliana (Mouse-ear cress)","mean_length",233
"Proteasome subunit beta type-6 (EC 3.4.25.1) (20S proteasome beta subunit A-1) (Proteasome component D) (Proteasome subunit beta type-1)","PBA1 PRCD At4g31300 F8F16.120","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",25151
"Protection of telomeres protein 1a (AtPOT1a) (AtPot1) (Protection of telomeres protein 1)","POT1A POT1 At2g05210 F5G3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",467
"Protection of telomeres protein 1a (AtPOT1a) (AtPot1) (Protection of telomeres protein 1)","POT1A POT1 At2g05210 F5G3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",53923
"Protection of telomeres protein 1b (AtPOT1b) (Protection of telomeres protein 2) (AtPot2)","POT1B POT2 At5g06310 MHF15","Arabidopsis thaliana (Mouse-ear cress)","mean_length",454
"Protection of telomeres protein 1b (AtPOT1b) (Protection of telomeres protein 2) (AtPot2)","POT1B POT2 At5g06310 MHF15","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",52572
"Protein ABIL1 (Abl interactor-like protein 1) (AtABIL1)","ABIL1 At2g46225 T3F17","Arabidopsis thaliana (Mouse-ear cress)","mean_length",298
"Protein ABIL1 (Abl interactor-like protein 1) (AtABIL1)","ABIL1 At2g46225 T3F17","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",33196
"Protein ABSCISIC ACID-INSENSITIVE 5 (Dc3 promoter-binding factor 1) (AtDPBF1) (Protein GROWTH-INSENSITIVITY TO ABA 1) (bZIP transcription factor 39) (AtbZIP39)","ABI5 BZIP39 DPBF1 GIA1 NEM1 At2g36270 F2H17.12","Arabidopsis thaliana (Mouse-ear cress)","mean_length",442
